final_price,bathrooms,sqft,parking,type,lat,long,city_district,bedrooms_ag,bedrooms_bg
2170000,5,,1,Detached,43.7311998,-79.4024021,Lawrence Park North,3,0
490000,2,1300,1,Condo Apt,43.7297438,-79.4420221,Englemount-Lawrence,3,0
1400000,2,,1,Detached,43.7079935,-79.3667693,Leaside-Bennington,3,1
772500,2,1100,0,Condo Apt,43.6510546,-79.3590608,Waterfront Communities-The Island,3,0
2065000,3,,1,Detached,43.6680469,-79.2967406,The Beaches,3,0
419000,1,250,1,Comm Element Condo,43.6211337,-79.5212115,Islington-City Centre West,1,0
1150000,2,1300,1,Condo Apt,43.6364097,-79.4020034,Niagara,2,1
599000,3,1100,1,Condo Townhouse,43.7965016,-79.3216626,L'Amoreaux,3,1
755000,2,1100,0,Condo Apt,43.6668646,-79.4644815,Junction Area,2,1
818888,3,1750,3,Semi-Detached,43.7538004,-79.4604521,Bathurst Manor,4,1
650440,1,650,1,Condo Apt,43.6520396,-79.4708348,High Park-Swansea,1,0
493000,2,650,1,Condo Apt,43.7740707,-79.3293238,Henry Farm,1,1
466000,2,1100,1,Condo Apt,43.7713861,-79.2607673,Bendale,2,1
325000,1,850,1,Condo Apt,43.8101572,-79.2211035,Malvern,1,1
629000,2,1100,1,Condo Apt,43.7394993,-79.4242244,Bedford Park-Nortown,2,0
670000,2,850,1,Condo Apt,43.6360574,-79.470781,High Park-Swansea,2,0
1063000,3,1900,1,Condo Townhouse,43.7753649,-79.4109093,Willowdale East,3,1
832500,1,,1,Semi-Detached,43.6828768,-79.313713,Woodbine Corridor,2,0
1400000,3,,2,Detached,43.709094,-79.4378982,Englemount-Lawrence,3,3
1750000,4,2250,2,Detached,43.7098205,-79.4097026,Yonge-Eglinton,3,1
1325000,2,,1,Semi-Detached,43.6746086,-79.3164189,Woodbine Corridor,3,1
590000,2,650,0,Condo Apt,43.642313,-79.4243664,Little Portugal,2,0
640000,2,,3,Detached,43.7213371,-79.5691898,Rexdale-Kipling,3,1
765000,3,,3,Detached,43.721829,-79.5628322,Rexdale-Kipling,3,0
1150000,3,,4,Detached,43.7026191,-79.4824067,Brookhaven-Amesbury,3,0
425000,1,250,0,Condo Apt,43.6415686,-79.4246028,Little Portugal,1,0
653000,1,750,1,Condo Apt,43.7117823,-79.3916402,Mount Pleasant West,1,1
1035000,3,1300,1,Detached,43.6704194,-79.4235007,Dovercourt-Wallace Emerson-Junction,3,1
1180000,2,1300,1,Condo Apt,43.6813916,-79.2821633,Birchcliffe-Cliffside,2,1
830000,3,,1,Detached,43.6801011,-79.4451056,Corso Italia-Davenport,3,2
760000,3,,4,Detached,43.8197037,-79.2686403,Milliken,3,2
830000,4,950,1,Condo Apt,43.6415312,-79.3826739,Waterfront Communities-The Island,2,0
736000,3,,3,Detached,43.8216934,-79.2666209,Milliken,3,1
